Deploymentstrategy: circle
Robots: 49
Viewingrange: 50

Results: 
Iterations: 63
TotalDistance: 198,706618
TotalMangan: 90,150000

Robots coordinates:
113 360
126 356
124 369
112 374
101 365
103 352
115 347
135 363
137 376
121 381
111 389
101 378
88 372
91 357
89 344
105 340
116 333
127 343
139 348
146 358
148 371
144 392
133 387
122 395
102 403
100 391
88 384
72 373
81 364
79 351
82 330
94 334
105 327
124 318
127 331
140 335
155 349
159 364
153 382
133 401
115 405
88 398
76 386
68 359
73 340
94 320
111 316
138 323
151 337
