Deploymentstrategy: spiral
Robots: 49
Viewingrange: 50

Results: 
Iterations: 63
TotalDistance: 198,706618
TotalMangan: 53,070000

Robots coordinates:
308 6
321 2
319 15
307 20
296 11
298 -1
310 -6
330 9
332 22
316 27
306 35
296 24
283 18
286 3
284 -9
300 -13
311 -20
322 -10
334 -5
341 4
343 17
339 38
328 33
317 41
297 49
295 37
283 30
267 19
276 10
274 -2
277 -23
289 -19
300 -26
319 -35
322 -22
335 -18
350 -4
354 10
348 28
328 47
310 51
283 44
271 32
263 5
268 -13
289 -33
306 -37
333 -30
346 -16
