Deploymentstrategy: circle
Robots: 53
Viewingrange: 50

Results: 
Iterations: 81
TotalDistance: 1045,676562
TotalMangan: 586,850000

Robots coordinates:
813 490
858 499
843 487
847 498
835 497
852 512
821 498
843 522
831 519
840 509
832 531
827 508
819 520
819 533
815 509
806 533
794 529
807 522
805 498
804 510
782 522
783 510
794 516
782 497
772 506
793 502
770 492
795 490
783 486
784 475
770 479
776 466
795 476
808 469
785 457
822 468
795 448
793 465
809 445
803 458
815 457
805 481
823 446
819 479
838 451
827 458
837 466
844 476
849 461
832 477
856 474
828 487
856 486
