Deploymentstrategy: circle
Robots: 53
Viewingrange: 50

Results: 
Iterations: 81
TotalDistance: 1045,676562
TotalMangan: 586,850000

Robots coordinates:
219 589
264 598
249 586
253 597
241 596
258 611
227 597
249 621
237 618
246 608
238 630
233 607
225 619
225 632
221 608
212 632
200 628
213 621
211 597
210 609
188 621
189 609
200 615
188 596
178 605
199 601
176 591
201 589
189 585
190 574
176 578
182 565
201 575
214 568
191 556
228 567
201 547
199 564
215 544
209 557
221 556
211 580
229 545
225 578
244 550
233 557
243 565
250 575
255 560
238 576
262 573
234 586
262 585
