Deploymentstrategy: circle
Robots: 49
Viewingrange: 50

Results: 
Iterations: 71
TotalDistance: 425,211723
TotalMangan: 207,850000

Robots coordinates:
203 554
216 560
205 568
193 563
190 550
201 541
214 546
225 551
229 566
217 572
206 582
194 575
179 571
181 559
178 541
190 537
203 525
211 534
226 538
237 558
245 567
229 578
217 585
214 598
196 588
184 582
172 586
169 564
172 551
161 544
177 529
191 526
192 513
214 516
221 528
235 526
237 545
249 552
241 580
229 592
201 599
184 596
164 575
159 558
165 531
179 517
204 510
226 516
244 535
