Deploymentstrategy: circle
Robots: 49
Viewingrange: 50

Results: 
Iterations: 63
TotalDistance: 198,706618
TotalMangan: 90,150000

Robots coordinates:
258 693
271 689
269 702
257 707
246 698
248 685
260 680
280 696
282 709
266 714
256 722
246 711
233 705
236 690
234 677
250 673
261 666
272 676
284 681
291 691
293 704
289 725
278 720
267 728
247 736
245 724
233 717
217 706
226 697
224 684
227 663
239 667
250 660
269 651
272 664
285 668
300 682
304 697
298 715
278 734
260 738
233 731
221 719
213 692
218 673
239 653
256 649
283 656
296 670
