Deploymentstrategy: circle
Robots: 49
Viewingrange: 50

Results: 
Iterations: 63
TotalDistance: 198,706618
TotalMangan: 90,150000

Robots coordinates:
613 435
626 431
624 444
612 449
601 440
603 427
615 422
635 438
637 451
621 456
611 464
601 453
588 447
591 432
589 419
605 415
616 408
627 418
639 423
646 433
648 446
644 467
633 462
622 470
602 478
600 466
588 459
572 448
581 439
579 426
582 405
594 409
605 402
624 393
627 406
640 410
655 424
659 439
653 457
633 476
615 480
588 473
576 461
568 434
573 415
594 395
611 391
638 398
651 412
